Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-05-06 09:30:00-04:00,432.92999267578125,432.92999267578125,432.92999267578125,432.92999267578125,764299,0.0,0.0
2025-05-06 09:31:00-04:00,432.8399963378906,433.7300109863281,432.3599853515625,432.9700012207031,91561,0.0,0.0
2025-05-06 09:32:00-04:00,432.9700012207031,433.7250061035156,432.9700012207031,433.1600036621094,86602,0.0,0.0
2025-05-06 09:33:00-04:00,433.2200012207031,433.3299865722656,432.3399963378906,432.4849853515625,103085,0.0,0.0
2025-05-06 09:34:00-04:00,432.5,433.7799987792969,432.4200134277344,433.2550048828125,109439,0.0,0.0
2025-05-06 09:35:00-04:00,433.2550048828125,434.239990234375,432.9800109863281,433.6199951171875,86009,0.0,0.0
2025-05-06 09:36:00-04:00,433.6199951171875,434.0899963378906,433.5849914550781,434.0386962890625,48981,0.0,0.0
2025-05-06 09:37:00-04:00,434.0950012207031,434.5,433.95001220703125,434.32000732421875,65684,0.0,0.0
2025-05-06 09:38:00-04:00,434.260009765625,434.260009765625,433.8904113769531,434.135009765625,34730,0.0,0.0
2025-05-06 09:39:00-04:00,434.0176086425781,434.3999938964844,434.0176086425781,434.239990234375,35430,0.0,0.0
2025-05-06 09:40:00-04:00,434.20001220703125,434.3399963378906,433.8900146484375,434.260009765625,42722,0.0,0.0
2025-05-06 09:41:00-04:00,434.1788024902344,434.32000732421875,433.6400146484375,433.8349914550781,35651,0.0,0.0
2025-05-06 09:42:00-04:00,433.84368896484375,434.5924987792969,433.80999755859375,434.4400939941406,65090,0.0,0.0
2025-05-06 09:43:00-04:00,434.6299133300781,434.9700012207031,434.3599853515625,434.84991455078125,60522,0.0,0.0
2025-05-06 09:44:00-04:00,434.84930419921875,435.1000061035156,434.6400146484375,434.82110595703125,71470,0.0,0.0
2025-05-06 09:45:00-04:00,434.8299865722656,434.973388671875,434.4949951171875,434.510009765625,69627,0.0,0.0
2025-05-06 09:46:00-04:00,434.489990234375,434.5849914550781,433.5249938964844,433.6600036621094,127480,0.0,0.0
2025-05-06 09:47:00-04:00,433.760009765625,433.9049987792969,433.4700012207031,433.7699890136719,48222,0.0,0.0
2025-05-06 09:48:00-04:00,433.712890625,434.0199890136719,433.6499938964844,433.8699951171875,39695,0.0,0.0
2025-05-06 09:49:00-04:00,433.9200134277344,434.010009765625,433.42999267578125,433.42999267578125,72136,0.0,0.0
2025-05-06 09:50:00-04:00,433.42999267578125,433.7799987792969,433.3500061035156,433.6099853515625,36336,0.0,0.0
2025-05-06 09:51:00-04:00,433.6099853515625,433.6099853515625,432.989990234375,433.17498779296875,66538,0.0,0.0
2025-05-06 09:52:00-04:00,433.1499938964844,433.4599914550781,433.1499938964844,433.4599914550781,18988,0.0,0.0
2025-05-06 09:53:00-04:00,433.42498779296875,433.4800109863281,433.1700134277344,433.30999755859375,30468,0.0,0.0
2025-05-06 09:54:00-04:00,433.2799987792969,433.4118957519531,433.1600036621094,433.29998779296875,17223,0.0,0.0
2025-05-06 09:55:00-04:00,433.21600341796875,433.489990234375,433.21600341796875,433.4324951171875,29993,0.0,0.0
2025-05-06 09:56:00-04:00,433.3999938964844,433.9700012207031,433.3299865722656,433.9024963378906,38071,0.0,0.0
2025-05-06 09:57:00-04:00,433.9049987792969,433.9049987792969,433.510009765625,433.510009765625,37766,0.0,0.0
2025-05-06 09:58:00-04:00,433.510009765625,433.6099853515625,433.36358642578125,433.57000732421875,24171,0.0,0.0
2025-05-06 09:59:00-04:00,433.5660095214844,433.7200012207031,433.489990234375,433.5375061035156,38371,0.0,0.0
2025-05-06 10:00:00-04:00,433.510009765625,433.6000061035156,432.8699951171875,433.1600036621094,98268,0.0,0.0
2025-05-06 10:01:00-04:00,433.19500732421875,433.80499267578125,433.19500732421875,433.67999267578125,29358,0.0,0.0
2025-05-06 10:02:00-04:00,433.6549987792969,434.0,433.6199951171875,433.64849853515625,103161,0.0,0.0
2025-05-06 10:03:00-04:00,433.67999267578125,433.79998779296875,433.3699951171875,433.3699951171875,20684,0.0,0.0
2025-05-06 10:04:00-04:00,433.375,433.57501220703125,433.2099914550781,433.57501220703125,35214,0.0,0.0
2025-05-06 10:05:00-04:00,433.5517883300781,433.6499938964844,433.2799987792969,433.37249755859375,25816,0.0,0.0
2025-05-06 10:06:00-04:00,433.510009765625,433.56781005859375,433.04998779296875,433.1400146484375,35182,0.0,0.0
2025-05-06 10:07:00-04:00,433.1099853515625,433.20001220703125,432.840087890625,432.8599853515625,50648,0.0,0.0
2025-05-06 10:08:00-04:00,432.9200134277344,433.5,432.9200134277344,433.4649963378906,24578,0.0,0.0
2025-05-06 10:09:00-04:00,433.5,433.79998779296875,433.4800109863281,433.625,51311,0.0,0.0
2025-05-06 10:10:00-04:00,433.5400085449219,433.989990234375,433.5400085449219,433.82000732421875,25970,0.0,0.0
2025-05-06 10:11:00-04:00,433.8699951171875,434.04998779296875,433.79998779296875,433.9150085449219,56100,0.0,0.0
2025-05-06 10:12:00-04:00,433.90618896484375,434.0,433.6499938964844,433.6919860839844,111937,0.0,0.0
2025-05-06 10:13:00-04:00,433.7099914550781,433.7825012207031,433.1300048828125,433.19000244140625,34441,0.0,0.0
2025-05-06 10:14:00-04:00,433.2300109863281,433.36309814453125,432.7300109863281,432.739990234375,61318,0.0,0.0
2025-05-06 10:15:00-04:00,432.7900085449219,433.2742004394531,432.75,432.9700012207031,46720,0.0,0.0
2025-05-06 10:16:00-04:00,433.04998779296875,433.32989501953125,432.95001220703125,433.2799987792969,19076,0.0,0.0
2025-05-06 10:17:00-04:00,433.32659912109375,433.6600036621094,433.1499938964844,433.42999267578125,23256,0.0,0.0
2025-05-06 10:18:00-04:00,433.5199890136719,433.6700134277344,433.4100036621094,433.6698913574219,20439,0.0,0.0
2025-05-06 10:19:00-04:00,433.5412902832031,433.82000732421875,433.5400085449219,433.760009765625,18401,0.0,0.0
2025-05-06 10:20:00-04:00,433.82000732421875,434.0,433.7200012207031,433.81878662109375,45009,0.0,0.0
2025-05-06 10:21:00-04:00,433.79998779296875,433.8999938964844,433.7200012207031,433.8500061035156,16003,0.0,0.0
